City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,lagoa,39.05,-27.9833,55.49,72,100,26.84,PT,1675720290
280,jaen,38.0,-3.5,44.92,69,2,5.77,ES,1675720796
281,deniliquin,-35.5333,144.9667,65.61,53,0,10.71,AU,1675720797
282,sorland,67.667,12.6934,46.26,88,100,42.26,NO,1675720518
283,san patricio,28.017,-97.5169,79.18,59,12,20.76,US,1675720801
284,viedma,-40.8135,-62.9967,73.45,33,22,16.4,AR,1675720268
285,mega,4.05,38.3,62.64,35,9,6.29,ET,1675720805
286,dubai,25.2582,55.3047,67.93,83,100,5.75,AE,1675720702
287,puerto narino,-3.7703,-70.3831,77.86,95,88,1.66,CO,1675720581
288,reconquista,-29.15,-59.65,97.74,13,0,4.85,AR,1675720807
289,bonthe,7.5264,-12.505,76.98,76,99,8.21,SL,1675720808
290,uvat,59.1433,68.8953,7.75,97,99,3.67,RU,1675720809
291,khor,47.8861,134.9464,0.59,98,100,4.63,RU,1675720810
292,worthington,40.0931,-83.018,38.08,73,75,10.36,US,1675720753
293,mitla,16.9167,-96.4,74.3,35,18,8.12,MX,1675720811
294,mount isa,-20.7333,139.5,76.77,94,100,13.8,AU,1675720811
295,rawah,34.4816,41.9093,50.41,61,7,14.47,IQ,1675720813
296,jodhpur,26.2867,73.03,63.14,31,0,6.17,IN,1675720552
297,yulara,-25.2406,130.9889,75.04,23,0,5.91,AU,1675720814
298,cabo san lucas,22.8909,-109.9124,81.61,56,40,1.99,MX,1675720534
299,veraval,20.9,70.3667,68.47,72,2,9.28,IN,1675720815
300,wawa,9.9022,4.4192,85.8,18,100,3.09,NG,1675720815
301,asyut,27.181,31.1837,48.38,39,77,7.52,EG,1675720817
302,los llanos de aridane,28.6585,-17.9182,58.75,75,0,17.27,ES,1675720639
303,mariental,-24.6333,17.9667,78.94,45,100,9.95,NA,1675720819
304,calama,-22.4667,-68.9333,70.29,43,75,21.85,CL,1675720819
305,lodhran,29.5405,71.6336,56.75,53,0,8.28,PK,1675720820
306,cherskiy,68.75,161.3,-37.73,100,100,5.48,RU,1675720243
307,kalmunai,7.4167,81.8167,76.03,86,52,6.62,LK,1675720821
308,murmashi,68.8154,32.8115,28.81,100,75,4.47,RU,1675720822
309,oeiras do para,-2.0031,-49.8544,76.28,91,71,3.13,BR,1675720824
310,ancud,-41.8697,-73.8203,62.06,67,0,3.62,CL,1675720380
311,sarakhs,36.5449,61.1577,49.5,38,57,10.16,IR,1675720828
312,pundaguitan,6.3711,126.1689,78.15,86,100,18.72,PH,1675720829
313,salalah,17.0151,54.0924,71.69,56,0,4.61,OM,1675720247
314,alta floresta,-9.8756,-56.0861,75.31,93,91,2.33,BR,1675720831
315,paita,-5.0892,-81.1144,79.75,68,48,13.76,PE,1675720831
316,horadiz,39.4488,47.3353,39.97,90,100,1.5,AZ,1675720832
317,karaton,-6.3424,106.1045,74.32,88,100,4.18,ID,1675720833
318,clearwater,27.9659,-82.8001,80.11,66,0,8.05,US,1675720383
319,pangnirtung,66.1451,-65.7125,-27.4,68,20,0.0,CA,1675720835
320,lar,26.2039,83.9717,53.91,59,0,3.58,IN,1675720835
321,hobyo,5.3505,48.5268,76.32,79,68,17.58,SO,1675720836
322,tretten,61.3142,10.3007,19.17,97,98,1.95,NO,1675720838
323,the valley,18.217,-63.0578,78.94,73,20,14.97,AI,1675720840
324,mahibadhoo,3.7833,72.9667,80.42,76,100,8.37,MV,1675720840
325,pulandian,39.3953,121.9669,28.27,38,73,4.94,CN,1675720841
326,shache,38.4167,77.2406,29.66,62,100,4.41,CN,1675720843
327,sharjah,25.3573,55.4033,67.98,88,95,5.75,AE,1675720847
328,fairbanks,64.8378,-147.7164,7.09,78,40,0.0,US,1675720840
329,nantucket,41.2835,-70.0995,43.0,81,100,34.23,US,1675720848
330,tecoanapa,16.5167,-98.75,83.97,57,2,9.24,MX,1675720848
331,port-gentil,-0.7193,8.7815,80.56,89,20,8.05,GA,1675720849
332,guanare,9.0418,-69.7421,92.14,29,55,4.41,VE,1675720850
333,terrace,54.5163,-128.6035,33.71,93,100,3.44,CA,1675720849
334,kletskaya,49.3145,43.0584,12.9,92,94,10.0,RU,1675720850
335,sangin,32.0728,64.8359,48.69,39,15,8.93,AF,1675720851
336,paamiut,61.994,-49.6678,10.9,91,100,3.56,GL,1675720852
337,palasa,18.7667,84.4167,65.14,77,0,5.28,IN,1675720852
338,puerto lempira,15.2667,-83.7667,84.34,74,40,11.5,HN,1675720853
339,berberati,4.2612,15.7922,71.82,23,57,1.39,CF,1675720853
340,broome,42.2506,-75.833,33.85,80,84,5.01,US,1675720854
341,salto,-31.3833,-57.9667,91.56,33,0,9.22,UY,1675720855
342,mglin,53.0591,32.8475,15.64,98,95,3.36,RU,1675720856
343,shatrovo,56.5167,64.6333,-3.95,100,98,4.63,RU,1675720858
344,odweyne,9.4092,45.064,66.02,48,45,0.96,SO,1675720858
345,westport,41.1415,-73.3579,46.89,62,59,11.99,US,1675720581
346,bandar-e lengeh,26.5579,54.8807,64.51,88,16,0.0,IR,1675720859
